Question,Equation,Answer,Numbers
"The junior ranger asked Christian to help him place N_00 seedlings in packets. If every packet needs to contain N_01 seeds, how many packets do they need?",v0 = N_00 / N_01,60.0,420.0 7.0
"A pet store has N_00 bird cages. If each cage has N_00 parrots and N_01 parakeets in it, how many birds does the pet store have total?",v0 = ( N_00 * ( N_00 + N_01 ) ),48.0,6.0 2.0
"For Halloween, Haley scored N_00 pieces of candy. She ate N_01 pieces the first night, and then her sister gave her N_02 more pieces. How many pieces of candy does Haley have now?",v0 = ( ( N_00 + N_02 ) - N_01 ),35.0,33.0 17.0 19.0
"There were originally N_00 houses in Lincoln County. During a housing boom, developers built N_01 . How many houses are there now in Lincoln County?",v0 = N_00 + N_01,118558.0,20817.0 97741.0
Tim has N_00 books. Mike has N_01 books. How many books do they have together?,v0 = N_00 + N_01,42.0,22.0 20.0
"For Halloween, Janet and her sister combined the candy they received. Janet had N_00 pieces of candy, while her sister had N_01 . If they ate N_02 pieces the first night, how many pieces do they have left?",v0 = ( ( N_00 + N_01 ) - N_02 ),63.0,34.0 33.0 4.0
"In one year, for the election for president, there were N_00 million voters, whereas, in the next year, there were N_01 million voters. Find the percentage change in the number of voters?",v0 = ( ( N_01 - N_00 ) / N_00 ) * 100.0,69.4,76.7 129.9
Paul had N_00 strawberries in his basket. He picked N_01 more strawberries. How many strawberries did he have then?,v0 = ( N_00 + N_01 ),63.0,28.0 35.0
"Iesha has N_00 books. N_01 are about school, and the rest are about sports. How many books about sports does Iesha have?",v0 = ( N_00 - N_01 ),208.0,344.0 136.0
There are N_00 calories in a candy bar. How many calories are there in N_01 candy bars?,v0 = N_00 * N_01,24.0,8.0 3.0
"Maria had N_00 bottles of water in her fridge. If she drank N_01 of them and then bought N_02 more, how many bottles would she have?",v0 = ( ( N_00 + N_02 ) - N_01 ),51.0,14.0 8.0 45.0
"For Halloween, Katie and her sister combined the candy they received. Katie had N_01 pieces of candy while her sister had N_00 . If they ate N_01 pieces the first night, how many pieces do they have left?",v0 = ( ( N_01 + N_00 ) - N_01 ),23.0,23.0 8.0
A person is choosing between N_00 cellular phone plans. One has a monthly fee of N_01 dollars for N_03 minutes plus N_02 dollars for each minute over the N_03 . The second plan has a monthly fee of N_04 dollars for N_06 minutes plus N_05 dollars for each minute over the N_06 . After how many minutes used are the monthly costs of the plans equal?,v0 = ( N_04 - N_01 + N_02 * N_03 - N_05 * N_06 ) / ( N_02 - N_05 ),2500.0,2.0 50.0 0.35 500.0 75.0 0.45 1000.0
Martin has N_00 boxes of crayons. Each box holds N_01 crayons. How many crayons does Martin have?,v0 = ( N_00 * N_01 ),56.0,8.0 7.0
"Rachel bought N_00 new chairs and N_01 new tables for her house. If she spent N_02 minutes on each piece of furniture putting it together, how many minutes did it take her to finish?",v0 = ( N_02 * ( N_00 + N_01 ) ),40.0,7.0 3.0 4.0
Lewis saved checking on the grapevines for his last stop. He was told by one of the pickers that they fill N_00 drums of grapes per day. How many drums of grapes would be filled in N_01 days?,v0 = N_00 * N_01,2916.0,324.0 9.0
Your class is having a pizza party. You buy N_00 pizzas. Each pizza has N_01 slices. How many slices is that altogether?,v0 = ( N_00 * N_01 ),20.0,5.0 4.0
There are N_00 short bushes and N_01 tall trees currently in the park. Park workers will plant N_02 short bushes today. How many short bushes will the park have when the workers are finished?,v0 = N_00 + N_02,57,37.0 30.0 20.0
The Sumata family took a N_00 -day vacation by car. Each day they drove N_01 miles. How many total miles did they drive?,v0 = N_00 * N_01,1250.0,5.0 250.0
"If Madison sold N_00 boxes of Tagalongs, how many cases of N_01 boxes does Madison pick up from the cookie mom?",v0 = ( N_00 / N_01 ),2.0,24.0 12.0
"Some insects, called aphids, attack a large farm. In response, the farmer releases ladybugs onto the fields. There are N_00 ladybugs with spots and N_01 ladybugs without spots. How many ladybugs are there in all?",v0 = N_00 + N_01,67082.0,12170.0 54912.0
N_00 of the students in the band are in the trumpet section. N_01 of the students in the band are in the trombone section. What fraction of the students in the band are in either the trumpet section or the trombone section?,v0 = N_00 + N_01,0.625,0.5 0.125
"Before starting her shift, a waitress checks to make sure there is enough mustard for her customers. She finds N_00 of a bottle at the first table, N_00 of a bottle at the second table, and N_01 of a bottle at the third table. Altogether, how many bottles of mustard does the waitress find?",v0 = N_00 + N_00 + N_01,0.875,0.25 0.375
"A pet store has N_00 bird cages. If each cage has N_01 parrots and N_02 parakeets in it, how many birds does the pet store have total?",v0 = ( N_00 * ( N_01 + N_02 ) ),54.0,6.0 2.0 7.0
There were N_00 bales of hay in the barn and N_01 bales in the shed. Tom stacked bales in the barn today. There are now N_02 bales of hay in the barn. How many bales did he store in the barn?,v0 = N_02 - N_00,14,46.0 32.0 60.0
"Peter has N_00 candies stored in boxes. If there are N_00 boxes, how many candies must go in each box?",v0 = ( N_00 / N_00 ),1.0,3.0
"For Halloween, Megan received N_00 pieces of candy from neighbors and N_01 pieces from her older sister. If she only ate N_02 pieces a day, how long would the candy last her?",v0 = ( ( N_00 + N_01 ) / N_02 ),2.0,11.0 5.0 8.0
"Mike made N_00 dollars mowing lawns and N_01 dollars weed eating. If he only spent N_02 dollars a week, how long would the money last him?",v0 = ( ( N_00 + N_01 ) / N_02 ),8.0,14.0 26.0 5.0
"For a birthday party, Cody bought N_00 regular sodas and N_01 diet sodas. If his fridge would only hold N_02 on each shelf, how many shelves would he fill up?",v0 = ( ( N_00 + N_01 ) / N_02 ),8.0,4.0 44.0 6.0
"Haley was playing a video game and had N_00 lives. In a hard part of the game, she lost N_01 lives. If she got N_02 more lives in the next level, how many lives would she have?",v0 = ( ( N_00 + N_02 ) - N_01 ),46.0,14.0 4.0 36.0
Joseph has N_00 candies. Kathy gives Joseph N_01 more. How many candies does Joseph have in all?,v0 = ( N_00 + N_01 ),105.0,67.0 38.0
Elizabeth went to the salon and had N_00 of an inch of hair cut off. The next day she went back and asked for another N_01 of an inch to be cut off. How much hair did she have cut off in all?,v0 = N_00 + N_01,0.875,0.375 0.5
"To fill an order, the factory dyed N_00 yards of silk green and N_01 yards pink. How many yards of silk did it dye for that order?",v0 = N_00 + N_01,111421.0,61921.0 49500.0
A cable company charges N_00 dollars for installation plus N_01 dollars per month. Another cable company offers free installation but charges N_02 dollars per month. For how many months of cable service would the total cost from either company be the same?,v0 = N_00 / ( N_02 - N_01 ),5.0,75.0 20.0 35.0
"If there are N_00 crayons in a box and Gerald puts N_01 more crayons inside, how many crayons are in the box?",v0 = ( N_00 + N_01 ),13.0,7.0 6.0
Mikey had N_00 leaves. Some of her leaves blew away. Now she has N_01 leaves left. How many of her leaves blew away?,v0 = ( N_00 - N_01 ),244.0,356.0 112.0
Rachel strolled to Nicholas's house. It is N_00 miles from Rachel's house to Nicholas's house. It took Rachel N_01 hours to get there. How fast did Rachel go?,v0 = ( N_00 / N_01 ),2.0,10.0 5.0
"Keith found N_00 seashells, Jessica found N_01 seashells, and Tim found N_02 seashells on the beach. When they cleaned them, they discovered that N_03 were cracked. How many seashells did they find together?",v0 = N_00 + N_01 + N_02,21,6.0 8.0 7.0 3.0
"N_00 times a number, plus N_01 less than twice the number is N_02 . What is the number?",v0 = ( N_01 + N_02 ) / ( N_00 + 2.0 ),4.0,8.0 6.0 34.0
"Allie counted the leftover ice cream after a sundae party. She had N_00 of a carton of rocky road ice cream, N_00 of a carton of cookie dough ice cream, and N_01 of a carton of strawberry cheesecake ice cream. How many cartons of ice cream did Allie have in all?",v0 = 0.5 + N_00 + N_01,0.8333333333333334,0.3333333333333333 0.16666666666666666
"For the school bake sale, Wendy made pastries. She baked N_00 cupcakes and N_01 cookies. After the sale, she had N_02 to take back home. How many pastries did she sell?",v0 = ( ( N_00 + N_01 ) - N_02 ),9.0,4.0 29.0 24.0
"A pet shelter had N_00 puppies when another N_01 were brought in. If N_02 puppies a day are adopted, how long would it take for all of them to be adopted?",v0 = ( ( N_00 + N_01 ) / N_02 ),5.0,5.0 35.0 8.0
"For Halloween, Sarah received N_00 pieces of candy from neighbors and N_01 pieces from her older sister. If she only ate N_02 pieces a day, how long would the candy last her?",v0 = ( ( N_00 + N_01 ) / N_02 ),9.0,66.0 15.0 9.0
"Amy paid N_00 dollars for a pair of running shoes during a N_01 off sale. What was the regular price, in dollars?",v0 = N_00 / ( 1.0 - ( 35.0 * 0.01 ) ),84.6,54.99 0.35
Mrs. Hilt read N_00 books. Each book had N_01 chapters in it. How many chapters did Mrs. Hilt read?,v0 = ( N_00 * N_01 ),68.0,4.0 17.0
There are N_00 calories in a candy bar. How many calories are there in N_01 candy bars?,v0 = N_00 * N_01,341.0,31.0 11.0
"There are N_00 students trying out for the school's trivia teams. If N_01 of them didn't get picked for the team and the rest were put into N_02 groups, how many students would be in each group?",v0 = ( ( N_00 - N_01 ) / N_02 ),9.0,36.0 9.0 3.0
"Sam had N_00 socks. If he threw away N_01 old ones that didn't fit and bought N_02 new ones, how many socks would he have?",v0 = ( ( N_00 + N_02 ) - N_01 ),43.0,10.0 3.0 36.0
"There are N_02 dishes that need to be rinsed. John can rinse them in N_00 minutes by himself. It will take his friend Bob N_01 minutes to rinse the same dishes. How long, in minutes, will it take them if they rinse the N_02 dishes together?",v0 = N_02 / ( ( N_02 / N_00 ) + ( N_02 / N_01 ) ),54.0,135.0 90.0 810.0
"Luke was selling his old games. He started out with N_00 but sold N_01 of them. He packed the rest up, putting N_02 games into each box. How many boxes did he have to use?",v0 = ( ( N_00 - N_01 ) / N_02 ),5.0,39.0 19.0 4.0
"If there are N_00 erasers in a box and Patrick puts N_01 more erasers inside, how many erasers are in the box?",v0 = ( N_00 + N_01 ),85.0,76.0 9.0
Ezra drew a white line that was N_00 inches long. Then he drew a blue line that was N_01 inches long. How much longer was the white line than the blue line?,v0 = N_00 - N_01,4.333333333333333,7.666666666666667 3.3333333333333335
Joan's high school played N_00 baseball games this year. N_01 of the games were played at night. She attended N_02 games. How many baseball games did Joan miss?,v0 = N_00 - N_02,469,864.0 128.0 395.0
Melanie picked N_00 plums and N_01 oranges from the orchard. She gave N_02 plums to Sam. How many plums does she have now?,v0 = N_00 - N_02,4,7.0 4.0 3.0
"Mariela was in the hospital, and she got N_00 get-well cards from around the country. When she got home, she got N_01 more cards from friends and family. How many get-well cards did Mariela get?",v0 = ( N_00 + N_01 ),690.0,403.0 287.0
There are N_00 short trees and N_01 tall trees currently in the park. Park workers will plant N_02 short trees today. How many short trees will the park have when the workers are finished?,v0 = N_00 + N_02,217,112.0 119.0 105.0
There were N_00 girls and N_01 boys on the playground at recess. How many children were there in all?,v0 = ( N_00 + N_01 ),63.0,28.0 35.0
"Find the product of N_00 , N_01 , N_02 , and N_03 .",v0 = ( ( ( - 2.0 ) * ( - 15.0 ) ) * N_02 ) * ( - 1.0 ),-120.0,-2.0 -15.0 4.0 -1.0
"For Halloween, Faye scored N_00 pieces of candy. She ate N_01 pieces the first night, and then her sister gave her N_02 more pieces. How many pieces of candy does Faye have now?",v0 = ( ( N_00 + N_02 ) - N_01 ),62.0,47.0 25.0 40.0
There are N_00 walnut trees currently in the park. Park workers will plant N_01 more walnut trees today. How many walnut trees will the park have when the workers are finished?,v0 = N_00 + N_01,10.0,4.0 6.0
Keith has N_00 books. Jason has N_01 books. How many books do they have together?,v0 = N_00 + N_01,41,20.0 21.0
Joan has N_00 books. Tom has N_01 books. How many books do they have together?,v0 = N_00 + N_01,48,10.0 38.0
"Sam had N_00 dollars to spend on N_01 books. After buying them, he had N_02 dollars. How much did each book cost?",v0 = ( N_00 - N_02 ) / N_01,7.0,79.0 9.0 16.0
One pencil weighs N_00 grams. How much do N_01 pencils weigh?,v0 = ( N_00 * N_01 ),141.5,28.3 5.0
"A quiz is worth N_00 points. You want a N_01 point average for all N_02 quizzes. You already took N_03 quizzes with scores of N_04 , N_05 , N_06 , and N_07 . What must your score be on your final quiz to reach your average?",v0 = N_01 * N_02 - ( ( ( N_04 + N_05 ) + N_06 ) + N_07 ),36.0,40.0 35.0 5.0 4.0 32.0 38.0 36.0 33.0
Mrs. Hilt and her sister drove to a concert N_00 miles away. They drove N_01 miles and then stopped for gas. Her sister put N_02 gallons of gas in the car. How many miles did they have left to drive?,v0 = ( N_00 - N_01 ),46.0,78.0 32.0 28.0
"John made N_00 dollars mowing lawns, and N_01 dollars weed eating. If he only spent N_02 dollars a week, how long would the money last him?",v0 = ( ( N_00 + N_01 ) / N_02 ),8.0,6.0 18.0 3.0
Elizabeth went to the salon and had N_00 inches of hair cut off. The next day she went back and asked for another N_01 inches to be cut off. How much hair did she have cut off in all?,v0 = N_00 + N_01,0.875,0.375 0.5
A garden has N_00 rows and N_01 columns of bean plans. How many plants are there in all?,v0 = ( N_00 * N_01 ),780.0,52.0 15.0
N_00 birds were sitting in a tree. N_01 more birds flew up to the tree. How many birds were there altogether in the tree?,v0 = ( N_00 + N_01 ),35.0,14.0 21.0
"Betty has N_00 oranges stored in boxes. If there are N_01 boxes, how many oranges must go in each box?",v0 = ( N_00 / N_01 ),8.0,24.0 3.0
"Michael has N_00 blocks stored in boxes. If there are N_01 boxes, how many blocks must go in each box?",v0 = ( N_00 / N_01 ),2.0,16.0 8.0
"Hoping to be named Salesperson of the Month, Rosa called the names from N_00 pages of the phone book last week. This week, she called the people listed on another N_01 pages of the same phone book. How many pages worth of people did Rosa call in all?",v0 = N_00 + N_01,18.8,10.2 8.6
"A pet shelter had N_00 puppies when another N_01 were brought in. If N_02 puppies a day are adopted, how long would it take for all of them to be adopted?",v0 = ( ( N_00 + N_01 ) / N_02 ),9.0,8.0 19.0 3.0
"If Karen sold N_00 boxes of Tagalongs, how many cases of N_01 boxes does Karen pick up from the cookie mom?",v0 = ( N_00 / N_01 ),3.0,36.0 12.0
You want to give your baseball cards to your N_00 best friends. You have N_01 baseball cards. How many would each get if you share them equally?,v0 = ( N_01 / N_00 ),91.0,5.0 455.0
Sean has N_00 blocks. N_01 are eaten by a hippopotamus. How many blocks will Sean have?,v0 = ( N_00 - N_01 ),26.0,55.0 29.0
"Wendy was playing a video game and had N_00 lives. In a hard part of the game, she lost N_01 lives. If she got N_02 more lives in the next level, how many lives would she have?",v0 = ( ( N_00 + N_02 ) - N_01 ),41.0,10.0 6.0 37.0
"Wendy bought N_00 new chairs and N_00 new tables for her house. If she spent N_01 minutes on each piece of furniture putting it together, how many minutes did it take her to finish?",v0 = ( N_01 * ( N_00 + N_00 ) ),48.0,4.0 6.0
Gordon bought N_00 pounds of fruit for a class party. The class ate N_01 pounds of the fruit. How much fruit is left?,v0 = N_00 - N_01,1.22,3.42 2.2
A pot contains N_00 liters of brine at a concentration of N_01 grams per liter. How much of the water should be boiled off to increase the concentration to N_02 grams per liter?,v0 = N_00 - N_00 * N_01 / N_02,2.4,4.0 80.0 200.0
"Mary picked N_00 oranges, and Jason picked N_01 oranges from the orange tree. How many oranges were picked in total?",v0 = N_00 + N_01,227.0,122.0 105.0
It snowed N_00 inches on Monday and N_01 inches on Tuesday. How much did it snow on Monday and Tuesday combined?,v0 = N_00 + N_01,0.53,0.32 0.21
"A pet store had N_00 puppies. In one day, they sold N_01 of them and put the rest into cages, with N_02 in each cage. How many cages did they use?",v0 = ( ( N_00 - N_01 ) / N_02 ),3.0,18.0 3.0 5.0
"The Sears Tower in Chicago is N_00 feet tall. The John Hancock Center in Chicago is N_01 feet tall. Suppose you are asked to build a small-scale replica of each. If you make the Sears Tower N_02 meter tall, what would be the approximate height of the John Hancock replica? Round your answer to the nearest hundredth.",v0 = N_02 / ( N_00 / N_01 ),2.33,1450.0 1127.0 3.0
"Tom Quig traveled N_00 miles east of St Louis. For most of the trip, he traveled N_01 miles per hour, but for one period of time, he was slowed to N_02 miles per hour due to a major accident. If the total time of travel was N_03 hours, how many miles did he drive at the reduced speed?",v0 = ( N_03 * N_02 * N_01 - N_02 * N_00 ) / ( N_01 - N_02 ),60.0,270.0 70.0 20.0 6.0
Jennifer has N_00 cards. N_01 are eaten by a hippopotamus. How many cards will Jennifer have?,v0 = ( N_00 - N_01 ),11.0,72.0 61.0
"Sarah had N_01 pages of math homework and N_00 pages of reading homework. If each page had N_01 problems on it, how many problems did she have to complete in total?",v0 = ( N_01 * ( N_01 + N_00 ) ),40.0,6.0 4.0
Mrs. Hilt saw N_00 bugs eat N_01 flowers each. How many flowers total did the bugs eat?,v0 = ( N_00 * N_01 ),6.0,3.0 2.0
"From the years N_03 to N_00 , the minimum hourly wage increased about N_01 , to N_02 dollars per hour. What was the minimum hourly wage in N_03 , in dollars?",v0 = N_02 / ( 66.13 * 0.01 + 1.0 ),3.1,2005.0 0.6613 5.15 1980.0
Mrs. Sheridan has N_00 fish. Her sister gave her N_01 more fish. How many fish does she have now?,v0 = ( N_00 + N_01 ),69.0,22.0 47.0
The farmer had N_00 apples. The farmer gave N_01 apples to his neighbor. How many apples does the farmer have now?,v0 = N_00 - N_01,39.0,127.0 88.0
Kelly had N_00 apples. How many more apples does Kelly need to pick to have N_01 apples altogether?,v0 = ( N_01 - N_00 ),49.0,56.0 105.0
"Kenji and his classmates placed colored blocks on a scale during a science lab. The yellow block weighed N_00 pounds, and the green block weighed N_01 pounds. How much more did the yellow block weigh than the green block?",v0 = N_00 - N_01,0.2,0.6 0.4
There are N_00 candies in a box. Lisa has N_01 candies in a bag. Diana takes N_02 candies out of the box. How many candies are left in the box?,v0 = ( N_00 - N_02 ),82.0,88.0 18.0 6.0
"Edward was selling his old games. He started out with N_00 but sold N_01 of them. He packed the rest up, putting N_02 games into each box. How many boxes did he have to use?",v0 = ( ( N_00 - N_01 ) / N_02 ),2.0,35.0 19.0 8.0
"For homework, Amy had N_00 math problems and N_01 spelling problems. If she can finish N_02 problems in an hour, how long will it take her to finish all the problems?",v0 = ( ( N_00 + N_01 ) / N_02 ),6.0,18.0 6.0 4.0
"On Monday, N_00 students went on a trip to the zoo. All N_01 buses were filled, and N_02 students had to travel by car. How many students were on each bus?",v0 = ( N_00 - N_02 ) / N_01,53.0,375.0 7.0 4.0
"Melanie bought a Batman game for $ N_00 , a strategy game for $ N_01 , and a Superman game for $ N_02 . Melanie already owns N_03 games. How much did Melanie spend on video games?",v0 = N_00 + N_01 + N_02,22.58,6.95 7.9 7.73 4.0
There are N_00 walnut trees currently in the park. Park workers will plant N_01 more walnut trees today. How many walnut trees will the park have when the workers are finished?,v0 = N_00 + N_01,77.0,33.0 44.0
Connie has N_00 marbles. Juan has N_01 more marbles than Connie. How many marbles does Juan have?,v0 = N_00 + N_01,498.0,323.0 175.0
"There are N_00 students trying out for the school's trivia teams. If N_01 of them didn't get picked for the team and the rest were put into N_02 groups, how many students would be in each group?",v0 = ( ( N_00 - N_01 ) / N_02 ),6.0,65.0 17.0 8.0
"There are N_00 students at a school. If each classroom holds N_01 students, how many classrooms are needed at the school?",v0 = N_00 / N_01,13.0,390.0 30.0
"A pet store had N_00 puppies. In one day, they sold N_01 of them and put the rest into cages, with N_02 in each cage. How many cages did they use?",v0 = ( ( N_00 - N_01 ) / N_02 ),5.0,81.0 41.0 8.0
"Joan bought toy cars for $ N_00 , a skateboard for $ N_01 , and got toy trucks for $ N_02 . She spent $ N_03 on pants. In total, how much did Joan spend on toys?",v0 = N_00 + N_01 + N_02,25.62,14.88 4.88 5.86 14.55
"Sue's mother made N_00 cookies. She put the cookies in bags, with N_01 cookies in each bag. How many bags could she fill up?",v0 = ( N_00 / N_01 ),25.0,75.0 3.0
"George had N_00 socks. If he threw away N_01 old ones that didn't fit and bought N_02 new ones, how many socks would he have?",v0 = ( ( N_00 + N_02 ) - N_01 ),60.0,28.0 4.0 36.0
"There are N_00 students trying out for the school's trivia teams. If N_01 of them didn't get picked for the team and the rest were put into N_02 groups, how many students would be in each group?",v0 = ( ( N_00 - N_01 ) / N_02 ),6.0,58.0 10.0 8.0
A pet supply store has N_00 bags of dog food and N_01 bags of cat food. How many more bags of dog food are there than cat food?,v0 = ( N_00 - N_01 ),273.0,600.0 327.0
"A pet store had N_00 puppies. In one day, they sold N_01 of them and put the rest into cages, with N_02 in each cage. How many cages did they use?",v0 = ( ( N_00 - N_01 ) / N_02 ),9.0,102.0 21.0 9.0
Tom was at the beach for N_00 days and found N_01 seashells every day. How many seashells did Tom find during the beach trip?,v0 = N_00 * N_01,35.0,5.0 7.0
Students at Arcadia schools are participating in a coat drive. N_00 coats have been collected so far. N_01 coats were collected from the high schools and the rest from the elementary schools. How many coats were collected at the elementary schools?,v0 = N_00 - N_01,2515.0,9437.0 6922.0
"Zoe had N_00 bottles of water in her fridge. If she drank N_01 of them and then bought N_02 more, how many bottles would she have?",v0 = ( ( N_00 + N_02 ) - N_01 ),47.0,42.0 25.0 30.0
"Janet was playing a video game and had N_00 lives. In a hard part of the game, she lost N_01 lives. If she got N_02 more lives in the next level, how many lives would she have?",v0 = ( ( N_00 + N_02 ) - N_01 ),70.0,47.0 23.0 46.0
David has N_00 boxes of stuffed toy dogs. Each box has N_01 dogs in it. How many dogs are there in all?,v0 = N_00 * N_01,28.0,7.0 4.0
There were N_00 geese and N_01 ducks in the marsh. How many birds were there in all?,v0 = ( N_00 + N_01 ),95.0,58.0 37.0
Connie has N_00 marbles. Juan has N_01 more marbles than Connie. How many marbles does Juan have?,v0 = ( N_00 + N_01 ),64.0,39.0 25.0
"Isabella's hair is N_00 inches long. By the end of the year, her hair is N_01 inches long. How much hair did she grow?",v0 = ( N_01 - N_00 ),6.0,18.0 24.0
"Katie uploaded N_00 pictures from her phone and N_01 from her camera to Facebook. If she sorted the pics into N_02 different albums with the same amount of pics in each album, how many pictures were in each of the albums?",v0 = ( ( N_00 + N_01 ) / N_02 ),9.0,30.0 51.0 9.0
There are N_00 maple trees and N_01 popular trees currently in the park. Park workers will plant N_02 maple trees today. How many maple trees will the park have when the workers are finished?,v0 = N_00 + N_02,11,2.0 5.0 9.0
Tim has N_00 books. Sam has N_01 books. How many books do they have together?,v0 = N_00 + N_01,96,44.0 52.0
Eugene has N_00 pencils. He gets N_01 more from Joyce. How many pencils does Eugene have in all?,v0 = ( N_00 + N_01 ),57.0,51.0 6.0
"Beth has the following grades N_00 , N_01 , N_02 , and N_03 on her first N_04 math quizzes. What grade would she need on her next math quiz to have an average of an N_05 ?",v0 = 87.0 * 5.0 - ( ( ( 81.0 + 88.0 ) + 90.0 ) + 86.0 ),90.0,0.81 0.88 0.9 0.86 4.0 0.87
"John had N_00 socks. If he threw away N_01 old ones that didn't fit and bought N_02 new ones, how many socks would he have?",v0 = ( ( N_00 + N_02 ) - N_01 ),27.0,33.0 19.0 13.0
"Mark has N_00 trees in his backyard. If he plants N_01 more, how many trees will he have?",v0 = ( N_00 + N_01 ),25.0,13.0 12.0
Ellen went to a garage sale to buy chairs. Each chair is N_00 dollars. How much did Ellen spend on the N_01 chairs she bought?,v0 = N_00 * N_01,180.0,15.0 12.0
"White t-shirts can be purchased in packages of N_00 . If Mom buys N_01 packages, how many white t-shirts will Mom have?",v0 = N_00 * N_01,426.0,6.0 71.0
"Jason had to submit N_00 animation projects as per his syllabus in the final semesters. He scored N_01 , N_06 , N_02 , and N_03 points out of N_04 in N_05 projects. What should be his score in the fifth project so that the average of his projects is at least N_06 ?",v0 = N_06 * N_00 - ( N_01 + N_06 + N_02 + N_03 ),92.0,5.0 82.0 78.0 88.0 100.0 4.0 85.0
"Wild and Crazy Productions wants to purchase a new CD producing machine. Its cost is N_00 dollars. If their labor and other unit costs are N_01 dollars per CD and they can sell the CD for N_02 dollars each, how many must they manufacture before they pay for their new machine?",v0 = N_00 / ( N_02 - N_01 ),1000.0,5000.0 5.0 10.0
"When N_00 is subtracted from N_01 times a certain number, the result is the original number. What is the number?",v0 = N_00 / ( N_01 - 1.0 ),6.0,18.0 4.0
"Robin uploaded N_00 pictures from her phone and N_01 from her camera to Facebook. If she sorted the pics into N_01 different albums with the same amount of pics in each album, how many pictures were in each of the albums?",v0 = ( ( N_00 + N_01 ) / N_01 ),8.0,35.0 5.0
There are N_00 orchid bushes and N_01 orange trees currently in the park. Park workers will plant N_02 orchid bushes today. How many orchid bushes will the park have when the workers are finished?,v0 = N_00 + N_02,35,22.0 40.0 13.0
A restaurant sold N_00 hamburgers last week. How many hamburgers on average were sold each day?,v0 = N_00 / 7.0,7.0,49.0
Nicholas starts with N_00 bottle caps. He gets N_01 more from Catherine. How many bottle caps does Nicholas end with?,v0 = ( N_00 + N_01 ),93.0,8.0 85.0
"Katie had N_00 pages of math homework and N_01 pages of reading homework. If each page had N_02 problems on it, how many problems did she have to complete in total?",v0 = ( N_02 * ( N_00 + N_01 ) ),90.0,7.0 3.0 9.0
Joan has saved N_00 quarters from washing cars. How many cents does Joan have?,v0 = N_00 * 25.0,150.0,6.0
Cheryl starts with N_00 Skittles. Kathryn gives Cheryl N_01 more. How many Skittles does Cheryl end with?,v0 = ( N_00 + N_01 ),97.0,8.0 89.0
"Albert's cabbage patch has N_00 rows of cabbage. In each row, there are N_01 heads of cabbage. How many heads of cabbage does Albert have in all?",v0 = ( N_00 * N_01 ),180.0,12.0 15.0
"Kaleb bought N_00 boxes of chocolate candy and gave N_01 to his little brother. If each box has N_02 pieces inside it, how many pieces did Kaleb still have?",v0 = ( N_02 * ( N_00 - N_01 ) ),54.0,14.0 5.0 6.0
"N_00 of Hayley's closest friends like stickers. If she plans to give all of them an equal number of stickers, how many will each receive if she has N_01 stickers?",v0 = N_01 / N_00,8.0,9.0 72.0
"Sara grew N_00 onions, Sally grew N_01 onions, and Fred grew N_02 onions. How many onions did they grow in all?",v0 = N_00 + N_01 + N_02,18.0,4.0 5.0 9.0
"At the arcade, Jerry won N_00 tickets playing 'whack a mole' and N_01 tickets playing 'skee ball.' If he spent N_02 of his tickets on a hat, how many tickets does Jerry have left?",v0 = ( ( N_00 + N_01 ) - N_02 ),34.0,29.0 17.0 12.0
"While playing at the arcade, Frank won N_00 tickets playing 'whack a mole' and N_01 tickets playing 'skee ball.' If he was trying to buy candy that cost N_02 tickets a piece, how many could he buy?",v0 = ( ( N_00 + N_01 ) / N_02 ),7.0,33.0 9.0 6.0
N_00 birds were sitting in a tree. Some more fly up to the tree. Then there were N_01 birds in the tree. How many more flew up to the tree?,v0 = ( N_01 - N_00 ),13.0,29.0 42.0
"Tiffany baked N_01 brownies but needed N_00 total for her party. If she used N_01 cups of flour on each one, how much cups of flour does she still need?",v0 = ( N_01 * ( N_00 - N_01 ) ),72.0,17.0 8.0
There are N_00 erasers in a box. Jane has N_01 erasers in a bag. Doris takes N_02 erasers out of the box. How many erasers are left in the box?,v0 = ( N_00 - N_02 ),15.0,69.0 15.0 54.0
There are N_00 walnut trees currently in the park. Park workers will plant N_01 walnut trees today. How many walnut trees will the park have when the workers are finished?,v0 = N_00 + N_01,77,33.0 44.0
N_00 people are going to the zoo. There are N_01 cars to take people to the zoo. How many will go in each car if the same number goes in each car?,v0 = ( N_00 / N_01 ),21.0,63.0 3.0
"For a birthday party, George bought N_00 regular sodas and N_01 diet sodas. If his fridge would only hold N_02 on each shelf, how many shelves would he fill up?",v0 = ( ( N_00 + N_01 ) / N_02 ),8.0,10.0 22.0 4.0
"For Halloween, Debby and her sister combined the candy they received. Debby had N_00 pieces of candy, while her sister had N_01 . If they ate N_02 pieces the first night, how many pieces do they have left?",v0 = ( ( N_00 + N_01 ) - N_02 ),39.0,32.0 42.0 35.0
Ruth starts with N_00 apples. She shares N_01 with Peter. How many apples does Ruth end with?,v0 = ( N_00 - N_01 ),84.0,89.0 5.0
Jorge scored N_00 goals playing soccer last season. This season he scored N_01 goals. What is the total number of goals Jorge scored?,v0 = ( N_00 + N_01 ),343.0,156.0 187.0
"Pamela bought N_00 ounces of sugar, and she spilled N_01 ounces of it on the floor. How much is left?",v0 = N_00 - N_01,4.6,9.8 5.2
