Question,Equation,Answer,Numbers
"There were originally N_00 houses in Lincoln County . During a housing boom , developers built N_01 . How many houses are there now in Lincoln County ?",N_00 + N_01,118558.0,20817.0 97741.0
The Hawks scored N_00 touchdowns worth N_01 points each . How many points do they have ?,N_00 * N_01,21.0,3.0 7.0
"Soft drinks are on sale at the grocery store for N_00 dollars for a N_01 pack . How much would each can of soft drink cost if purchased individually , in dollars ?",N_00 / N_01,0.25,2.99 12.0
"The school cafeteria ordered N_00 red apples and N_01 green apples for students lunches . But , if only N_02 students wanted fruit , how many extra did the cafeteria end up with ?",N_00 + N_01 - N_02,32.0,25.0 17.0 10.0
Mandy made an apple pie . She used N_00 tablespoon of cinnamon and N_01 tablespoon of nutmeg . How much more cinnamon than nutmeg did Mandy use ?,N_00 - N_01,0.1666666666666666,0.6666666666666666 0.5
"A textbook costs a bookstore N_00 dollars , and the store sells it for N_01 dollars . Find the amount of profit based on the selling price .",N_01 - N_00,11.0,44.0 55.0
"While playing a trivia game , Mike answered N_00 questions correct in the first half and N_01 questions correct in the second half . If each question was worth N_02 points , what was his final score ?",N_00 * ( N_00 + N_01 ),24.0,3.0 5.0 3.0
"At Mrs. Hilt 's house , there was N_00 inches of snow , and Brecknock Elementary School received N_01 inches of snow . How much more snow did Mrs. Hilt 's house have ?",N_00 - N_01,12.0,29.0 17.0
At a company picnic N_00 managers and N_01 employees decided to start a game of volleyball . If they split into N_02 teams how many people would be on each team ?,( N_00 + N_01 ) / N_02,3.0,9.0 15.0 8.0
"There were N_00 friends playing a video game online when N_01 more players joined the game . If each player had N_02 lives , how many lives did they have total ?",N_00 * ( N_00 + N_01 ),63.0,7.0 2.0 7.0
Anna starts with N_00 candies . She gets N_01 more from Larry . How many candies does Anna end with ?,N_00 + N_01,91.0,5.0 86.0
"A worksheet had N_00 problems on it . If a teacher had N_01 worksheets to grade and had already graded N_02 of them , how many more problems does she have to grade ?",N_00 * ( N_01 - N_02 ),16.0,4.0 9.0 5.0
"Fred has N_00 red balloons , Sam has N_01 red balloons , and Dan has N_02 red balloons . The balloons cost N_03 dollars . How many red balloons do they have in all ?",N_00 + N_01 + N_02,72.0,10.0 46.0 16.0 10.0
Evelyn starts with N_00 Skittles . She shares N_01 with Christine . How many Skittles does Evelyn end with ?,N_00 - N_01,4.0,76.0 72.0
A carpenter bought a piece of wood that was N_00 centimeters long . Then he sawed N_01 centimeters off the end . How long is the piece of wood now ?,N_00 - N_01,6.6,8.9 2.3
A store had N_00 oranges in a bin . If they threw away N_01 of the old ones and put N_02 new ones in the bin how many would be in the bin ?,N_00 + N_02 - N_01,27.0,34.0 20.0 13.0
Tim has N_00 books . Mike has N_01 books . How many books do they have together ?,N_00 + N_01,42.0,22.0 20.0
A car traveled N_00 kilometers in N_01 hours . What was its average speed ?,N_00 / N_01,65.0,715.0 11.0
There are N_00 dogwood trees currently in the park . Park workers will plant N_01 dogwood trees today and N_02 dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ?,N_00 + N_01 + N_02,12.0,7.0 3.0 2.0
There are N_00 bottle caps in each box . How many bottle caps are in N_01 boxes ?,N_00 * N_01,54.0,9.0 6.0
"Gwen was organizing her book case making sure each of the shelves had exactly N_00 books on it . If she had N_01 shelves of mystery books and N_02 shelves of picture books , how many books did she have total ?",N_00 * ( N_01 + N_02 ),72.0,9.0 3.0 5.0
"Megan was organizing her book case making sure each of the shelves had exactly N_00 books on it . If she had N_01 shelves of mystery books and N_02 shelves of picture books , how many books did she have total ?",N_00 * ( N_01 + N_02 ),70.0,7.0 8.0 2.0
"Karen added N_00 cup of walnuts to a batch of trail mix . Later , she added N_01 cup of almonds . How many cups of nuts did Karen put in the trail mix in all ?",N_00 + N_00,0.5,0.25 0.25
There are N_00 scissors and N_01 pencils in the drawer . Dan placed N_02 scissors in the drawer . How many scissors are now there in total ?,N_00 + N_02,52.0,39.0 22.0 13.0
Sara goes fishing with Melanie . Sara catches N_00 trout . Melanie catches N_01 times as many trout as Sara . How many trout did Melanie catch ?,N_00 * N_01,10.0,5.0 2.0
Cade had N_00 marbles . He gave N_01 to Dylan . How many does he have left ?,N_00 - N_01,79.0,87.0 8.0
"Karin 's science class weighed plastic rings for an experiment . They found that the orange ring weighed N_00 ounce , the purple ring weighed N_01 ounce , and the white ring weighed N_02 ounce . What was the total weight of the plastic rings ?",N_00 + N_01 + N_02,0.8333333333333334,0.08333333333333333 0.3333333333333333 0.4166666666666667
A group of N_00 friends went into a restaurant . The chef already had N_01 chicken wings cooked but cooked N_02 more for the group . If they each got the same amount how many would each person get ?,( N_01 + N_02 ) / N_00,6.0,3.0 8.0 10.0
Lucy has N_00 fish . How many more fish does she need to buy to have N_01 fish ?,N_01 - N_00,68.0,212.0 280.0
There are N_00 bananas in a pile on the desk . Each banana comes in a package of N_01 . N_02 bananas are added to the pile . How many bananas are there in the pile ?,N_00 + N_02,9.0,2.0 13.0 7.0
"Terrell hiked N_00 miles on Saturday . Then , on Sunday , he hiked another N_01 miles . How far did Terrell hike all together ?",N_00 + N_01,9.8,8.2 1.6
"Allyson plays for the cook county regional football league which has N_00 teams . During a season , each team plays the other team N_01 twice , once at home and one away . How many total games are played in one season ?",N_00 * ( N_00 - 1.0 ) * N_01 / N_01,90.0,10.0 2.0
Larry starts with N_00 cards . N_01 are eaten by a hippopotamus . How many cards does Larry end with ?,N_00 - N_01,74.0,91.0 17.0
"Keith spent $ N_00 on speakers , $ N_01 on a CD player , and $ N_02 on new tires . He wanted N_03 CD 's for $ N_04 , but did n't buy them . In total , how much did he spend ?",N_00 + N_01 + N_02,387.85,136.01 139.38 112.46 3.0 6.16
"For Halloween Janet and her sister combined the candy they received . Janet had N_00 pieces of candy while her sister had N_01 . If they ate N_02 pieces the first night , how many pieces do they have left ?",N_00 + N_01 - N_02,63.0,34.0 33.0 4.0
"In one year , for the election for president there were N_00 million voters , whereas in the next year there were N_01 million voters . Find the percentage change in the number of voters ?",( N_01 - N_00 ) / N_00 * 100.0,69.4,76.7 129.9
Carla has some marbles . She bought N_00 marbles . Now she has N_01 marbles all together . How many did she start with ?,N_01 - N_00,2289.0,489.0 2778.0
"Lana picked N_00 tulips and N_01 roses to make flower bouquets . If she only used N_02 of the flowers though , how many extra flowers did Lana pick ?",N_00 + N_01 - N_02,3.0,36.0 37.0 70.0
James rode N_00 miles at N_01 miles per hour . How long did James ride ?,N_00 / N_01,5.0,80.0 16.0
How much would N_00 pieces of bubble gum cost if each piece costs N_01 cents ?,N_00 * N_01,2448.0,136.0 18.0
Paul had N_00 strawberries in his basket . He picked N_01 more strawberries . How many strawberries did he have then ?,N_00 + N_01,63.0,28.0 35.0
"At a restaurant each adult meal costs $ N_00 and kids eat free . If a group of N_01 people came in and N_02 were kids , how much would it cost for the group to eat ?",N_00 * ( N_01 - N_02 ),12.0,2.0 15.0 9.0
Sam had N_00 pennies and N_01 nickels in his bank . His dad gave him N_02 nickels and N_03 quarters . How many nickels does he have now ?,N_01 + N_02,63.0,49.0 24.0 39.0 31.0
"A painter needed to paint N_00 rooms in a building . Each room takes N_01 hours to paint . If he already painted N_02 rooms , how much longer will he take to paint the rest ?",N_01 * ( N_00 - N_02 ),49.0,12.0 7.0 5.0
"A waitress put leftover tarts into the fridge on Thursday night . She noticed that the restaurant had N_00 tart filled with cherries , N_01 tart filled with blueberries , and N_02 tart filled with peaches . How many leftover tarts did the restaurant have in all ?",N_00 + N_00 + N_01,0.9166666666666666,0.08333333333333333 0.75 0.08333333333333333
"Mike made N_00 dollars mowing lawns over the summer . If he spent N_01 dollars buying new mower blades , how many N_02 dollar games could he buy with the money he had left ?",( N_00 - N_01 ) / N_02,9.0,101.0 47.0 6.0
There are N_00 calories in a candy bar . How many calories are there in N_01 candy bars ?,N_00 * N_01,24.0,8.0 3.0
Gloria has N_00 boxes of tickets . Each box holds N_01 tickets and there are N_02 boxes in a case . How many tickets does Gloria have ?,N_00 * N_01,45.0,9.0 5.0 10.0
Joan 's cat had N_00 kittens . She gave N_01 to her friends . How many kittens does she have now ?,N_00 - N_01,6.0,8.0 2.0
"Maria had N_00 bottles of water in her fridge . If she drank N_01 of them and then bought N_02 more , how many bottles would she have ?",N_00 + N_02 - N_01,51.0,14.0 8.0 45.0
Each cup contains N_00 ounces . How many ounces are in N_01 cups ?,N_00 * N_01,264.0,8.0 33.0
"For Halloween Katie and her sister combined the candy they received . Katie had N_00 pieces of candy while her sister had N_01 . If they ate N_02 pieces the first night , how many pieces do they have left ?",N_00 + N_01 - N_00,23.0,8.0 23.0 8.0
A spaceship traveled N_00 light - year from Earth to Planet X and N_01 light - year from Planet X to Planet Y . Then it traveled N_02 light - year from Planet Y back to Earth . How many light - years did the spaceship travel in all ?,N_00 + N_01 + N_01,0.7,0.5 0.1 0.1
Martin has N_00 boxes of crayons . Each box holds N_01 crayons . How many crayons does Martin have ?,N_00 * N_01,56.0,8.0 7.0
If Anne wandered for N_00 hours at N_01 miles per hour . How far did Anne go ?,N_00 * N_01,6.0,3.0 2.0
"The Richmond Tigers sold a total of N_00 tickets last season . If they sold N_01 tickets in the first half of the season , how many tickets did they sell in the second half ?",N_00 - N_01,5703.0,9570.0 3867.0
"At the town carnival Billy rode the ferris wheel N_00 times and the bumper cars N_01 times . If each ride cost N_02 tickets , how many tickets did he use ?",N_02 * ( N_00 + N_01 ),50.0,7.0 3.0 5.0
Kelly has N_00 Nintendo games . How many does she need to give away so that she will have N_01 games left ?,N_00 - N_01,15.0,50.0 35.0
"Mike had N_00 video games but N_01 of them were n't working . If he wanted to sell the working games for $ N_02 each , how much money could he earn ?",N_02 * ( N_00 - N_01 ),30.0,15.0 9.0 5.0
"Jesse has N_00 bananas . If he shares them among N_01 friends , how many bananas does each friend get ?",N_00 / N_01,7.0,21.0 3.0
"Rachel bought N_00 new chairs and N_01 new tables for her house . If she spent N_02 minutes on each piece furniture putting it together , how many minutes did it take her to finish ?",N_02 * ( N_00 + N_01 ),40.0,7.0 3.0 4.0
"Mike joined his school 's band . He bought a trumpet for $ N_00 , and a song book which was $ N_01 . How much did Mike spend at the music store ?",N_00 + N_01,151.0,145.16 5.84
Lewis saved checking on the grapevines for his last stop . He was told by one of the pickers that they fill N_00 drums of grapes per day . How many drums of grapes would be filled in N_01 days ?,N_00 * N_01,2916.0,324.0 9.0
Megan has N_00 seashells . How many more seashells does she need to find to have N_01 seashells in her collection ?,N_01 - N_00,6.0,19.0 25.0
Sue ’ s family went on vacation . Her mom drove the car at N_00 mph . They camped at a campground after traveling for N_01 hours . How far was the campground from their home ?,N_00 * N_01,300.0,60.0 5.0
Joan has N_00 orange balloons but lost N_01 of them . How many orange balloons does Joan have now ?,N_00 - N_01,6.0,8.0 2.0
"Heather went to the county fair last weekend . When she got there , she had to walk N_00 mile from the car to the entrance . Then she walked N_01 mile to the carnival rides and N_02 mile from the carnival rides back to the car . How many miles did Heather walk in all ?",N_00 + N_00 + N_02,0.75,0.3333333333333333 0.3333333333333333 0.08333333333333333
Craig starts with N_00 Skittles . N_01 are eaten by a hippopotamus . How many Skittles does Craig end with ?,N_00 - N_01,3.0,5.0 2.0
The schools debate team had N_00 boys and N_01 girls on it . If they were split into groups of N_02 how many groups could they make ?,( N_00 + N_01 ) / N_02,5.0,5.0 40.0 9.0
Isabel bought N_00 pieces of paper . She used N_01 pieces of the paper . How many pieces of paper does she have left ?,N_00 - N_01,744.0,900.0 156.0
A pet store had N_00 siamese cats and N_01 house cats . During a sale they sold N_02 cats . How many cats do they have left ?,N_00 + N_01 - N_02,28.0,36.0 18.0 26.0
"A bee colony produced N_00 pounds of honey , but bears ate N_01 pounds of it . How much honey remains ?",N_00 - N_01,0.31,0.36 0.05
Aaron starts with N_00 erasers . He gives N_01 to Doris . How many erasers does Aaron end with ?,N_00 - N_01,47.0,81.0 34.0
There are N_00 pencils and N_01 rulers in the drawer . Sally took N_02 pencils out of the drawer . How many pencils are there now ?,N_00 - N_01,5.0,9.0 4.0 4.0
"Benny received N_00 dollars and N_01 movie tickets for his birthday . He went to a sporting goods store and bought a baseball glove , baseball , and bat . He had N_02 dollars over , how much did he spent on the baseball gear ?",N_00 - N_02,47.0,79.0 9.0 32.0
Fred has N_00 baseball cards . Melanie bought N_01 of Fred 's baseball cards . How many baseball cards does Fred have now ?,N_00 - N_01,2.0,5.0 3.0
"Before December , customers buy N_00 ear muffs from the mall . During December , they buy N_01 more , and there are none left . In all , how many ear muffs do the customers buy ?",N_00 + N_01,7790.0,1346.0 6444.0
"On Friday , N_00 people visited the zoo . N_01 times as many people visited on Saturday than on Friday . How many people visited the zoo on Saturday ?",N_00 * N_01,3750.0,1250.0 3.0
There are N_00 pencils in the drawer . Mike placed N_01 more pencils in the drawer . How many pencils are now there in total ?,N_00 + N_01,71.0,41.0 30.0
Andrew starts with N_00 eggs . He buys N_01 more . How many eggs does Andrew end with ?,N_00 + N_01,70.0,8.0 62.0
"Billy was organizing his baseball cards in a binder with N_00 on each page . If he had N_01 new cards and N_02 old cards to put in the binder , how many pages would he use ?",( N_01 + N_02 ) / N_00,9.0,5.0 3.0 42.0
"My car gets N_00 miles per gallon of gas . If Grandma ’ s house is N_01 miles away , how many gallons of gas would it take to get to her house ?",N_01 / N_00,5.0,20.0 100.0
"A waiter at ' The Greasy Spoon ' restaurant had N_00 customers to wait on . During the lunch rush he added another N_01 customers . If N_02 of the customers did n't leave him a tip , how many customers did leave a tip ?",N_00 + N_01 - N_02,15.0,29.0 20.0 34.0
Lillian collects N_00 candies . Lillian 's father gives Lillian N_01 more . How many candies does Lillian have ?,N_00 + N_01,93.0,88.0 5.0
It rained N_00 inches on Saturday and N_01 inches on Sunday . How much did it rain on Saturday and Sunday combined ?,N_00 + N_01,0.6,0.2 0.4
Anthony has N_00 pencils . Kathryn gives Anthony N_01 more . How many pencils does Anthony have in all ?,N_00 + N_01,65.0,9.0 56.0
"A florist had N_00 roses . If she sold N_01 of them and then later picked N_02 more , how many roses would she have ?",N_00 + N_02 - N_01,40.0,37.0 16.0 19.0
There are N_00 short bushes and N_01 tall trees currently in the park . Park workers will plant N_02 short bushes today . How many short bushes will the park have when the workers are finished ?,N_00 + N_02,57.0,37.0 30.0 20.0
"Joshua has N_00 Skittles and N_01 eggs . If he shares the Skittles among N_02 friends , how many Skittles does each friend get ?",N_00 / N_02,8.0,40.0 6.0 5.0
"Katie had N_00 songs on her mp3 player . If she deleted N_01 old songs from it and then added N_02 new songs , how many songs does she have on her mp3 player ?",N_00 + N_02 - N_01,28.0,11.0 7.0 24.0
Maria needs N_00 cartons of berries to make a berry cobbler . She already has N_01 cartons of strawberries and N_02 cartons of blueberries . How many more cartons of berries should Maria buy ?,N_00 - ( N_01 + N_02 ),9.0,21.0 4.0 8.0
Betty bought N_00 pink flower stones and wanted to make N_01 bracelets out of these stones . How many pink flower stones will each bracelet have if she used the same number of stones in each bracelet ?,N_00 / N_01,11.0,88.0 8.0
"The value of a sport utility vehicle this year is N_00 dollars , which is N_01 of what its value was last year . Find the value of the vehicle last year .",N_00 / N_01,20000.0,16000.0 0.8
Sandy has N_00 dozen books . Fred has N_01 times more books than Sandy . How many books does Fred have ?,N_00 * 12.0 * N_01,480.0,8.0 5.0
There are N_00 oak trees currently in the park . Park workers had to cut down N_01 oak trees that were damaged . How many oak trees will the park have when the workers are finished ?,N_00 - N_01,7.0,9.0 2.0
Mary had N_00 nickels in her bank . Her dad gave her N_01 nickels . How many nickels does Mary have now ?,N_00 + N_01,12.0,7.0 5.0
"If Madison sold N_00 boxes of Tagalongs , how many cases of N_01 boxes does Madison pickup from the cookie mom ?",N_00 / N_01,2.0,24.0 12.0
Alec and his roommates ate N_00 pints of ice cream on Friday night and N_01 pint of ice cream on Saturday night . How many pints did they eat in all ?,N_00 + N_01,3.5,3.25 0.25
"The cafeteria had N_00 apples . For lunch they handed out N_01 to students and decided to use the rest to make pies . If each pie takes N_02 apples , how many pies could they make ?",( N_00 - N_01 ) / N_02,9.0,96.0 42.0 6.0
Nancy found N_00 seashells and N_01 starfish on the beach . She gave N_02 of the seashells to Jason . How many seashells does Nancy now have ?,N_00 - N_02,18.0,35.0 25.0 17.0
N_00 the students in the band are in the trumpet section . N_01 the students in the band are in the trombone section . What fraction of the students in the band are in either the trumpet section or the trombone section ?,N_00 + N_01,0.625,0.5 0.125
"A magician was selling magic card decks for N_00 dollars each . If he started with N_01 decks and by the end of the day he had N_02 left , how much money did he earn ?",N_00 * ( N_01 - N_02 ),56.0,7.0 16.0 8.0
"Lori has N_00 marbles . If she shares them among N_01 friends , how many marbles does each friend get ?",N_00 / N_01,6.0,30.0 5.0
There are N_00 pencils in a box . Eric takes N_01 pencils . How many are left ?,N_00 - N_01,75.0,79.0 4.0
"A renovation project required N_00 truck - load of sand , N_01 truck - load of dirt , and N_02 truck - load of cement . How many truck - loads of material were needed in all ?",N_00 + N_00 + N_01,0.6666666666666666,0.16666666666666666 0.3333333333333333 0.16666666666666666
"Keith spent $ N_00 on a rabbit toy , $ N_01 on pet food , and a cage cost him $ N_02 . He found a dollar bill on the ground . What was the total cost of Keith 's purchases ?",N_00 + N_01 + N_02,24.81,6.51 5.79 12.51
"A pet store has N_00 bird cages . If each cage has N_01 parrots and N_02 parakeets in it , how many birds does the pet store have total ?",N_00 * ( N_01 + N_02 ),54.0,6.0 2.0 7.0
"If Benjamin strolled N_00 miles at N_01 miles per hour , how long was Benjamin travelling ?",N_00 / N_01,7.0,14.0 2.0
Jason grew N_00 watermelons and N_01 pumpkins . Sandy grew N_02 watermelons . How many watermelons did they grow in total ?,N_00 + N_02,48.0,37.0 30.0 11.0
"Each chocolate bar in a box cost $ N_00 . If a box had N_01 bars total and Vanessa sold all but N_02 bars , how much money would she have made ?",N_00 * ( N_01 - N_02 ),16.0,4.0 11.0 7.0
There are N_00 bottle caps in a box . Marvin takes N_01 bottle caps . How many are left ?,N_00 - N_01,10.0,16.0 6.0
"A ship is filled with N_00 tons of cargo . It stops in the Bahamas , where sailors load N_01 more tons of cargo onboard . How many tons of cargo does the ship hold now ?",N_00 + N_01,14696.0,5973.0 8723.0
George has N_00 boxes of eggs . Each box holds N_01 eggs and there are N_02 boxes in a case . How many eggs does George have ?,N_00 * N_01,15.0,5.0 3.0 9.0
Tim had N_00 cents . He paid N_01 cents for a candy bar . How much change will he get ?,N_00 - N_01,5.0,50.0 45.0
Annie starts with N_00 crayons . Matthew gives Annie N_01 more . How many crayons does Annie end with ?,N_00 + N_01,40.0,4.0 36.0
There are N_00 crayons in each box . How many crayons are in N_01 boxes ?,N_00 * N_01,12.0,4.0 3.0
"Peter has N_00 candies stored in boxes . If there are N_01 boxes , how many candies must go in each box ?",N_00 / N_00,1.0,3.0 3.0
"For Halloween Megan received N_00 pieces of candy from neighbors and N_01 pieces from her older sister . If she only ate N_02 pieces a day , how long would the candy last her ?",( N_00 + N_01 ) / N_02,2.0,11.0 5.0 8.0
Joyce starts with N_00 apples . She gives N_01 to Larry . How many apples does Joyce end with ?,N_00 - N_01,23.0,75.0 52.0
"Mike made N_00 dollars mowing lawns and N_01 dollars weed eating . If he only spent N_02 dollar a week , how long would the money last him ?",( N_00 + N_01 ) / N_02,8.0,14.0 26.0 5.0
Mrs. Hilt reads N_00 books a day . How many books does she read in N_01 days ?,N_00 * N_01,15.0,5.0 3.0
James ate N_00 carrot sticks before dinner and N_01 more after dinner . How many carrot sticks did he eat ?,N_00 + N_01,37.0,22.0 15.0
"Vincent bought N_00 books about animals , N_01 book about outer space , and N_02 books about trains . Each book cost $ N_03 . How much did Vincent spend on the books ?",( N_00 + N_01 + N_02 ) * N_03,224.0,10.0 1.0 3.0 16.0
"Alyssa went to N_00 soccer games this year , but missed N_01 . She went to N_02 games last year and plans to go to N_03 games next year . How many soccer games will Alyssa go to in all ?",N_00 + N_02 + N_03,39.0,11.0 12.0 13.0 15.0
"For a birthday party Cody bought N_00 regular sodas and N_01 diet sodas . If his fridge would only hold N_02 on each shelf , how many shelves would he fill up ?",( N_00 + N_01 ) / N_02,8.0,4.0 44.0 6.0
William has N_00 marbles . He shares N_01 with Theresa . How many marbles will William have ?,N_00 - N_01,7.0,10.0 3.0
Misha has N_00 dollars . How many dollars does she have to earn to have N_01 dollars to buy a dog ?,N_01 - N_00,13.0,34.0 47.0
"Haley was playing a video game and had N_00 lives . In a hard part of the game she lost N_01 lives . If she got N_02 more lives in the next level , how many lives would she have ?",N_00 + N_02 - N_01,46.0,14.0 4.0 36.0
"Before December , customers buy N_00 ear muffs from the mall . During December , they buy N_01 , and there are none . In all , how many ear muffs do the customers buy ?",N_00 + N_01,7790.0,1346.0 6444.0
"John was organizing his baseball cards in a binder with N_00 on each page . If he had N_01 new cards and N_02 old cards to put in the binder , how many pages would he use ?",( N_01 + N_02 ) / N_00,8.0,3.0 8.0 16.0
"A lawyer bills her clients N_00 dollars per hour of service . If a client 's case requires N_01 hours to complete , use proportion to calculate how much the client will owe the lawyer in dollars .",N_00 * N_01,7800.0,200.0 39.0
Joseph has N_00 candies . Kathy gives Joseph N_01 more . How many candies does Joseph have in all ?,N_00 + N_01,105.0,67.0 38.0
"Brian ’ s car gets N_00 miles per gallon . On his last trip , he used N_01 gallons of gas . How many miles did he travel on his last trip ?",N_00 * N_01,60.0,20.0 3.0
"Mark 's father gave him $ N_00 . Mark bought N_01 books , each of which cost $ N_02 . How much money does Mark have left ?",N_00 - N_01 * N_02,35.0,85.0 10.0 5.0
"Edward was trying to expand his game collection . He bought N_00 games from a friend and bought N_01 more at a garage sale . If N_02 of the games did n't work , how many good games did he end up with ?",N_00 + N_01 - N_02,24.0,41.0 14.0 31.0
Shirley starts with N_00 eggs . She buys N_01 more . How many eggs does Shirley end with ?,N_00 + N_01,106.0,98.0 8.0
Mike picked N_00 oranges and Melanie picked N_01 oranges . Fred picked N_02 apples . How many oranges were picked in total ?,N_00 + N_01,227.0,123.0 104.0 130.0
Victor and his friend were buying trick decks from the magic shop for N_00 dollars each . How much did they spend if Victor bought N_01 decks and his friend bought N_02 decks ?,N_00 * ( N_01 + N_02 ),64.0,8.0 6.0 2.0
"Scott has N_00 oranges that must be put away in boxes . Terry comes to help and brings N_01 cookies to share with Scott . If there are N_02 boxes , how many oranges must go in each box ?",N_00 / N_02,7.0,56.0 11.0 8.0
"If there are N_00 crayons in a box and Gerald puts N_01 more crayons inside , how many crayons are in the box ?",N_00 + N_01,13.0,7.0 6.0
Mikey had N_00 leaves . Some of her leaves blew away . Now she has N_01 leaves left . How many of her leaves blew away ?,N_00 - N_01,244.0,356.0 112.0
"In N_00 week , Mitch 's family drank N_01 carton of regular milk and N_02 carton of soy milk . How much milk did they drink in all ?",N_01 + N_02,0.6,1.0 0.5 0.1
Rachel strolled to Nicholas 's house . It is N_00 miles from Rachel 's house to Nicholas 's house . It took Rachel N_01 hours to get there . How fast did Rachel go ?,N_00 / N_01,2.0,10.0 5.0
"The school cafeteria had N_00 apples . If they used N_01 to make lunch for the students and then bought N_02 more , how many apples would they have ?",N_00 + N_02 - N_01,46.0,38.0 20.0 28.0
Kimberly went to the store N_00 times last month . She buys N_01 peanuts each time she goes to the store . How many peanuts did Kimberly buy last month ?,N_00 * N_01,21.0,3.0 7.0
"Keith found N_00 seashells , Jessica found N_01 seashells , and Tim found N_02 seashells on the beach . When they cleaned them , they discovered that N_03 were cracked . How many seashells did they find together ?",N_00 + N_01 + N_02,21.0,6.0 8.0 7.0 3.0
Mrs. Hilt bought a yoyo for N_00 cents and a whistle for N_01 cents . How much did she spend in all for the two toys ?,N_00 + N_01,38.0,24.0 14.0
"I have N_00 cents to buy candy . If each gumdrop costs N_01 cents , how many gumdrops can I buy ?",N_00 / N_01,20.0,80.0 4.0
Darnel sprinted N_00 lap and then took a break by jogging N_01 lap . How much farther did Darnel sprint than jog ?,N_00 - N_01,0.125,0.875 0.75
"Fred has N_00 yellow balloons , Sam has N_01 yellow balloons , and Mary has N_02 yellow balloons . The balloons cost N_03 dollars . How many yellow balloons do they have in total ?",N_00 + N_01 + N_02,18.0,5.0 6.0 7.0 5.0
There are N_00 walnut trees and N_01 orange trees currently in the park . Park workers had to cut down N_02 walnut trees that were damaged . How many walnut trees will be in the park when the workers are finished ?,N_00 - N_02,29.0,42.0 12.0 13.0
Tom has N_00 yellow balloons . Sara has N_01 yellow balloons . How many yellow balloons do they have in total ?,N_00 + N_01,17.0,9.0 8.0
A fruit farm packs oranges in boxes that hold N_00 each . One day it packs N_01 oranges . How many boxes did they use ?,N_01 / N_00,265.0,10.0 2650.0
Karen has N_00 crayons . Cindy has N_01 crayons . How many more crayons does Karen have than Cindy ?,N_00 - N_01,135.0,639.0 504.0
Luke had N_00 stickers . He bought N_01 stickers from a store in the mall and got N_02 stickers for his birthday . Then Luke gave N_03 of the stickers to his sister and used N_04 to decorate a greeting card . How many stickers does Luke have left ?,N_00 + N_01 + N_00 - N_03 - N_04,39.0,20.0 12.0 20.0 5.0 8.0
There were N_00 roses in the vase . Mary cut some roses from her flower garden . There are now N_01 roses in the vase . How many roses did she cut ?,N_01 - N_00,10.0,6.0 16.0
For the school bake sale Wendy made pastries . She baked N_00 cupcakes and N_01 cookies . After the sale she had N_02 to take back home . How many pastries did she sell ?,N_00 + N_01 - N_02,9.0,4.0 29.0 24.0
"Paul got a box of N_00 crayons for his birthday . At the end of the school year , he only had N_01 left . How many crayons had been lost or given away ?",N_00 - N_01,345.0,479.0 134.0
Kelly 's chemistry textbook weighs N_00 pounds and her geometry textbook weighs N_01 pound . How much more does the chemistry textbook weigh than the geometry textbook ?,N_00 - N_01,6.5,7.125 0.625
"At the beach , Janet and her sister both built sandcastles and then measured their heights . Janet 's sandcastle was N_00 feet tall and her sister 's was N_01 feet tall . How much taller was Janet 's sandcastle than her sister 's ?",N_00 - N_01,1.3333333333333333,3.6666666666666665 2.3333333333333335
"Carefully following a recipe , Kenny used exactly N_00 cup of oil and N_01 cups of water . How many cups of liquid did Kenny use in all ?",N_00 + N_01,1.3333333333333333,0.16666666666666666 1.1666666666666667
"A worksheet had N_00 problems on it . If a teacher had N_01 worksheets to grade and had already graded N_02 of them , how many more problems does she have to grade ?",N_00 * ( N_01 - N_02 ),63.0,7.0 17.0 8.0
"A pet shelter had N_00 puppies when another N_01 were brought in . If N_02 puppies a day are adopted , how long would it take for all of them to be adopted ?",( N_00 + N_01 ) / N_02,5.0,5.0 35.0 8.0
Lisa rented N_00 DVDs for $ N_01 . How much did each DVD cost to rent ?,N_01 / N_00,1.2,4.0 4.8
"While on vacation , Megan took N_00 pictures at the zoo and N_01 at the museum . If she later deleted N_02 of the pictures , how many pictures from her vacation did she still have ?",N_00 + N_01 - N_02,2.0,15.0 18.0 31.0
"For Halloween Sarah received N_00 pieces of candy from neighbors and N_01 pieces from her older sister . If she only ate N_02 pieces a day , how long would the candy last her ?",( N_00 + N_01 ) / N_02,9.0,66.0 15.0 9.0
"The selling price of a pair of pants is N_00 dollars . If the store paid N_01 dollars less for the pants , find the price that the store paid , in dollars .",N_00 - N_01,26.0,34.0 8.0
"Fred went to N_00 basketball games this year , but missed N_01 . He went to N_02 games last year . How many basketball games did Fred go to in total ?",N_00 + N_02,47.0,36.0 35.0 11.0
A dealer pays N_00 dollars for a car . The dealer wants to make a profit that is N_01 % of the selling price . For how much should the dealer sell the car ?,N_00 * ( 1.0 + N_01 * 0.01 ),7500.0,6000.0 25.0
Mrs. Hilt has N_00 markers . They are divided equally into N_01 packages . Mrs. Hilt wants to know how many markers are in each package ?,N_00 / N_01,5.0,40.0 7.0
Wendy uploaded N_00 pictures to Facebook . She put N_01 pics into one album and put the rest into N_02 different albums . How many pictures were in each album ?,( N_00 - N_01 ) / N_02,7.0,79.0 44.0 5.0
